しぐさ書・座って本読み,Emote "Sit and Read"
しぐさ書・ダンシング青,Emote "Dancing Blue"
しぐさ書・ハート射抜く,Emote "Shoot Hearts"
ねこまどうぬいぐるみ小,Meowgician Plushie S
みずたまの棺桶風ベッド,Polka Dot Coffin Bed
あいじょうオムレツの本,Affection Omelet Recipe
とらねこバイクプリズム,Tiger Cat Bike Prism
しぐさ書・フラッシュ黄,Emote "Flash Yellow"
お店のカウンター小・緑,Green Shop Counter S
お店のカウンター中・緑,Green Shop Counter M
お店のカウンター大・緑,Green Shop Counter L
お祭りやぐら館ランプ花,Festival Flower Lamp
さらなる高みを目指す者,Those Who Aim Higher
まほうのカギの仲間たち,Magic Key Companions
お皿に載ったパンケーキ,Pancakes on a Plate
しぐさ書・ゴールデン青,Emote "Golden Blue"
みちびきのプチプチ香水,Guidance Perfume XS
しぐさ書・フィーバー緑,Emote "Fever Green"
しぐさ書・たいこを叩く,Emote "Beat a Drum"
しぐさ書・幸せのおどり,Emote "Happy Dance"
しぐさ書・ダンシング赤,Emote "Dancing Red"
ごうかカウンター大・赤,Red Fancy Counter L
ごうかカウンター小・赤,Red Fancy Counter S
ごうかなオーガ胸像・赤,Red Fancy Ogre Bust
まっちゃガーベラのタネ,Matcha Gerbera Seed
みかわしオムレツ調理法,Evasion Omelet Recipe
やいばのよろいの仕組み,Making Spiked Armor
ごうかなインテリアの本,Fancy Interior Book
お菓子なインテリアの本,Sweet Interior Book
きょじんのハンマーの本,Giant's Hammer Book
ゆらゆらどうぶつの絵本,Rocking Animal Book
せつげんりゅうプリズム,Tundragster Prism
しぐさ書・フラッシュ緑,Emote "Flash Green"
お店のカウンター小・青,Blue Shop Counter S
お店のカウンター中・青,Blue Shop Counter M
お店のカウンター大・青,Blue Shop Counter L
お店のカーペット小・緑,Green Shop Carpet S
お店のカーペット中・緑,Green Shop Carpet M
しぐさ書・紫のまなざし,Emote "Purple Gaze"
しぐさ書・黄のまなざし,Emote "Yellow Gaze"
お菓子の家のカウンター,Candy House Counter
さいほうと共に生きる道,Sewer's Way of Life
お祭りやぐら館の庭用柱,Festival Pillar (G)
しぐさ書・マギフラワー,Emote "Magi Flower"
たそがれのガラス細工壁,Twilight Glass Wall
たそがれの路地裏の売店,Twilight Alley Shop
たそがれの路地裏タイル,Twilight Alley Tile
たそがれの路地裏の電柱,Twilight Alley Pole
たそがれのアドバルーン,Twilight Ad Balloon
しぐさ書・ラインダンス,Emote "Line Dance"
しぐさ書・ゴールデン赤,Emote "Golden Red"
しぐさ書・波止場ポーズ,Emote "Wharf Pose"
しぐさ書・まえならえ後,Emote "Front Arms"
しぐさ書・フィーバー青,Emote "Fever Blue"
しぐさ書・リバーダンス,Emote "Riverdance"
はなてスライムショット,Shoot a Slime Shot
ふんさいのおおなたの書,Heavy Hatchet Book
こおりのブーメランの書,Winter's Wing Book
ねこみみバイクプリズム,Cat Ears Bike Prism
おどる宝石ぬいぐるみ小,Goodybag Plushie S
しぐさ書・ネオンスピカ,Emote "Neon Spica"
しぐさ書・ネオンハート,Emote "Neon Heart"
しぐさ書・フラッシュ青,Emote "Flash Blue"
しぐさ書・フラッシュ桃,Emote "Flash Pink"
お店のカウンター小・赤,Red Shop Counter S
お店のカウンター中・赤,Red Shop Counter M
お店のカウンター大・赤,Red Shop Counter L
お店のカーペット小・青,Blue Shop Carpet S
お店のカーペット中・青,Blue Shop Carpet M
しぐさ書・拳をかかげる,Emote "Raise Fist"
しぐさ書・緑のまなざし,Emote "Green Gaze"
お土産屋さんの和風屋根,Souvenir Shop Roof
しぐさ書・ブレイク炭酸,Emote "Break Soda"
ふわふわジョニールの箱,Fluffy Joneal Box
しぐさ書・タクトをふる,Emote "Conductor"
しぐさ書・フィーバー赤,Emote "Fever Red"
しぐさ書・アコーディオ,Emote "Accordion"
しぐさ書・ネオンスター,Emote "Neon Star"
ごうかなテーブル小・赤,Red Fancy Table S
ごうかなテーブル大・赤,Red Fancy Table L
おもちゃのサーカス・雪,Toy Circus (Snow)
おもちゃのトンネル・雪,Toy Tunnel (Snow)
うなれスライムウィップ,Slime Whip Recipe
しぐさ書・ネオンビーム,Emote "Neon Beam"
しぐさ書・フラッシュ赤,Emote "Flash Red"
お店のカーペット小・赤,Red Shop Carpet S
お店のカーペット中・赤,Red Shop Carpet M
しぐさ書・青いまなざし,Emote "Blue Gaze"
しぐさ書・ボディガード,Emote "Bodyguard"
しぐさ書・ブレイク銀杯,Emote "Break Cup"
ぼくのいのちの恩人さん,I Owe You My Life
ついてクンマット庭・丸,Round Pet Mat (G)
しぐさ書・マギキューブ,Emote "Magi Cube"
しぐさ書・赤いまなざし,Emote "Red Gaze"
しぐさ書・パンフレット,Emote "Pamphlet"
お料理大好きですわ～♪,I Love to Cook ♪
しぐさ書・優しい気持ち,Emote "Kindness"
しぐさ書・サボテンダー,Emote "Cactuar"
しぐさ書・ポップコーン,Emote "Popcorn"
まちかどフラッグ掲示板,Flag Town Board
おばあちゃん先生の授業,Grandma's Class
しぐさ書・ヴァイオリン,Emote "Violin"
しぐさ書・メイクアップ,Emote "Makeup"
あばれこまいぬの阿吽像,Foo Dog Statue
お祭りやぐら館のランプ,Festival Lamp
お祭りやぐら館のタイル,Festival Tile
きんぞくウルフきぐるみ,Metal Wolf Costume
お弁当が載ったテーブル,Table with Lunchboxes
しぐさ書・ファイヤー赤,Emote "Fire Red"
しぐさ書・ファイヤー青,Emote "Fire Blue"
しぐさ書・ファイヤー緑,Emote "Fire Green"
しぐさ書・ファイヤー桃,Emote "Fire Pink"
しぐさ書・ファイヤー黄,Emote "Fire Yellow"
しぐさ書・この葉がくれ,Emote "Hide in Leaves"
しぐさ書・ラブリーティ,Emote "Lovely Tea"
わだつみのころもセット,Sea God Outfit
そなえの場の宿屋の丸机,Place of Preparation Desk
そなえの場の宿屋のイス,Place of Preparation Chair
しぐさ書・木の葉がくれ,Emote "Hidden Leaf"
りゅうおうの翼プリズム,Dragonlord Wings Prism
きらきら星を見つけたら,Spot a Twinkling Star
のどかな農村の大テント,Idyllic Village Tent L
なぞ解きオブジェクト02,Mystery Solving Object 2
なぞ解きオブジェクト03,Mystery Solving Object 3
なぞ解きオブジェクト04,Mystery Solving Object 4
とこしえの神殿楯の間,Temple of Eternity Shield Room
はぐれメタルの像・庭,Liquid Metal Statue (G)
こげ茶もふ猫カプセル,Soft Olive Cat Toy
たれ白トラ猫カプセル,Lazy White Tabby Toy
やくそうの危険な香り,Medicinal Herb's Harmful Scent
たれこげ茶猫カプセル,Lazy Olive Cat Toy
いたスト・カジノマス,Fortune Street - Casino
あくまのきしの像・庭,Knight Aberrant Statue (G)
たれ茶トラ猫カプセル,Lazy Brown Tabby Toy
たれキジ太猫カプセル,Fat Lazy Brown Cat Toy
さいほう針をかかげて,Holding Up a Sewing Needle
そうびぶくろ超整理術,Bag Organization Technique
よみがえり続けるもの,Things Coming Back to Life
つなぐ想いを未来へと,Connect Thoughts to Future
お肉のミルクチーズ煮,Meat and Cheese Dish
こうげきモーモンラグ,Attack Teeny Sanguini Rug
お姫様の間仕切り・橙,Princess Partition
たれサバ太猫カプセル,Fat Lazy Gray Cat Toy
きんぞくウルフ衣装券,Metal Wolf Costume Ticket
しぐさ書・Ｎスピカ黄,Emote "Neon Spica Yellow"
しぐさ書・Ｎハート黄,Emote "Neon Heart Yellow"
おそうじ童子の像・庭,Sweepy Samurai Statue (G)
こうげきピンモーラグ,Attack Pink Sanguini Rug
なげきムーンの像・庭,Mourning Moon Statue (G)
ふわふわスライム物語,Story of a Fluffy Slime
お花見行楽弁当セット,Cherry Blossom Bento
しぐさ書・Ｎスター黄,Emote "Neon Star Yellow"
しぐさ書・Ｎスピカ緑,Emote "Neon Spica Green"
しぐさ書・Ｎビーム黄,Emote "Neon Beam Yellow"
しぐさ書・Ｎハート緑,Emote "Neon Heart Green"
お菓子の国は大騒ぎ！,Candy Land in an Uproar!
ゆるしてほしいのニャ,I Want You to Forgive Me
あまたの願いを求めて,In search of more wishes
いにしえの決意の行方,Future of Past Decisions
いにしえの封印の伝承,Lore of the Ancient Seal
おいしい保存食セット,Tasty Preserved Food Set
いやしのムニエル・小,Small Mending Meuniere
ごうかよろい飾り・緑,Green Fancy Armor Decor
ごうかパーティ机・緑,Green Fancy Party Table
お姫様カウンタ大・桃,Pink Princess Counter L
お姫様カウンタ小・桃,Pink Princess Counter S
お姫様パーティ机・桃,Pink Prncss Party Table
お姫様のキッチン・橙,Princess Kitchen
お姫様のバスタブ・橙,Princess Bathtub
はじめよう！ホネ砕き,Let's Crush Some Bones!
はやてのベスト作成術,Agility Outfit Creation
お姫様のイスと机の本,Princess Furniture Book
とある兵士の重い想い,Soldier's Heavy Thought
たれキナリ猫カプセル,Lazy Kinari Cat Toy
しぐさ書・Ｎスター緑,Emote "Neon Star Green"
しぐさ書・Ｎスピカ青,Emote "Neon Spica Blue"
しぐさ書・Ｎスピカ桃,Emote "Neon Spica Pink"
しぐさ書・Ｎビーム緑,Emote "Neon Beam Green"
しぐさ書・Ｎハート青,Emote "Neon Heart Blue"
しぐさ書・Ｎハート桃,Emote "Neon Heart Pink"
たたきモグラの像・庭,Mashing Mole Statue (G)
おすもっこりの像・庭,Sumo Baby Statue (G)
ほくほく肉じゃが・小,Small Meat & Potatoes
しゃべる杖が見たい！,To See a Talking Staff!
いにしえの遺跡　探訪,Exploring Ancient Ruins
ねじれたる異形の大地,Twisted Deformed Earth
しぐさ書・スイカ割り,Emote "Cut Watermelon"
しぐさ書・写真を撮る,Emote "Take a Picture"
しぐさ書・モチ返し手,Emote "Mochi Returner"
しぐさ書・立って寝る,Emote "Standing Sleep"
しぐさ書・トロピカル,Emote "Tropical Juice"
しぐさ書・イスに座る,Emote "Sit in a Chair"
おもちゃの丸い家・雪,Toy Round House (Snow)
お花の浮いた噴水・銀,Silver Flower Fountain
かいしんバーガーの本,Critical Burger Recipe
ふわふわ雲の観測日記,Diary of Fluffy Clouds
さじんのやりのレシピ,Sandstorm Spear Recipe
ふぶきのオノの作り方,How to Make an Ice Axe
ほのおのツメの作り方,How to Make Fire Claws
なげきのこんの作り方,Make a Rod of Mourning
ぬすっとの服のレシピ,Robber's Outfit Recipe
しゅうれんぎのレシピ,Training Outfit Recipe
ごうかなラグの作り方,How to Make Fancy Rugs
ごうかな小物の作り方,Make Fancy Small Decor
だいまどうローブ大全,Great Mage Outfit Book
しずく結晶のオブジェ,Raindrop Crystal Curio
しぐさ書・Ｎスター青,Emote "Neon Star Blue"
しぐさ書・Ｎスター桃,Emote "Neon Star Pink"
しぐさ書・Ｎスピカ赤,Emote "Neon Spica Red"
しぐさ書・Ｎビーム青,Emote "Neon Beam Blue"
しぐさ書・Ｎビーム桃,Emote "Neon Beam Pink"
しぐさ書・Ｎハート赤,Emote "Neon Heart Red"
はじまりの踊り子伝説,Dancer's Origin Legend
たまにＨＰ１生き残り,May Survive with 1 HP
おたからさがしのすず,Treasure Eye Land Bell
しぐさ書・モチつき手,Emote "Mochi Pounder"
しぐさ書・羽根の魔法,Emote "Feather Magic"
しぐさ書・画集を読む,Emote "Read Art Book"
お花見だんご傘の包み,Dumpling Umbrella Box
おたのしみギュッと箱,Pleasure Arm Doll Box
ごうかな間仕切り・緑,Green Fancy Partition
ごうかカウンタ大・緑,Green Fancy Counter L
ごうかカウンタ小・緑,Green Fancy Counter S
ごうかオーガ胸像・緑,Green Fancy Ogre Bust
お姫様テーブル小・桃,Pink Princess Table S
お姫様テーブル大・桃,Pink Princess Table L
お姫様のチェスト・橙,Princess Chest
あずきガーベラのタネ,Red Bean Gerbera Seed
おむつっこりの像・庭,Bushy Baby Statue (G)
ふわふわ雲のラグ図鑑,Fluffy Cloud Rug Book
ようせいの杖の作り方,Making a Faerie Staff
みかわしの服のレシピ,Evasion Outfit Recipe
よるのパピヨンの秘密,Dread Dagger's Secret
あめふりグレイツェル,Rainy Weather Gretzel
しぐさ書・Ｎスター赤,Emote "Neon Star Red"
しぐさ書・Ｎビーム赤,Emote "Neon Beam Red"
はにわにんぎょうの像,Clay Mannequin Statue
しぐさ書・ドラけしＳ,Emote "Eraser Shower"
さいほう職人の切り札,Sewer's Secret Weapon
さあ♪咲き乱れるのよ,Come On ♪ Let's Bloom
そこに眠りし者たちは,Those Who Sleep There
るすばんエイドス４号,Caretaker Eidos No. 4
たそがれの路地裏の柱,Twilight Alley Pillar
きせかえドール交換券,Doll Exchange Ticket
しぐさ書・しゃぼん玉,Emote "Blow Bubbles"
わくわくプレゼント箱,Exciting Present Box
おめかしＶチケット改,Dress-up V Ticket v2
しぐさ書・おたから袋,Emote "Treasure Bag"
やみしばりカカシの畑,Hellbound Horror Field
お姫様のオーブン・橙,Princess Oven
お花の浮いた噴水・金,Gold Flower Fountain
さすらいのコートの本,Errant Outfit Book
あくまのタクトの秘密,Devil's Baton Secret
やしゃのこんの作り方,Making a Slaying Rod
きぬのローブの作り方,Making a Silk Outfit
かたりべの服のレシピ,Storyteller's Recipe
くろがねのよろいの本,Darksteel Armor Book
おもちゃセット大図鑑,Toy Encyclopedia Set
ごうかなイスと机の本,Fancy Furniture Book
お菓子なイスと机の本,Sweet Furniture Book
しっくいとレンガの壁,Plaster & Brick Wall
いねかりぞくの像・庭,Harvester Statue (G)
しぐさ書・Ｓスライム,Emote "Signal Slime"
しぐさ書・お宝ゲット,Emote "Get Treasure"
しぐさ書・超ハッスル,Emote "Super Hustle"
しぐさ書・Ｓクラウン,Emote "Signal Crown"
くつろぎカフェタイム,Relaxing Coffee Time
ひき直し時ターン不要,Redraw Takes No Turn
しぐさ書・ラブレター,Emote "Love Letter"
しぐさ書・飛び出すＶ,Emote "V Pops Out!"
しぐさ書・ティンクル,Emote "Twirl Baton"
しぐさ書・チアダンス,Emote "Cheerleader"
おめかしレアカラー券,Rare Recolor Ticket
あいじょうオムレツ小,Small Affection Omelet
ふくびきウェア衣装券,Lottery Wear Ticket
しぐさ書・かわいがる,Emote "Pet Monster"
ごうかテーブル小・緑,Green Fancy Table S
ごうかテーブル大・緑,Green Fancy Table L
ごうかなキッチン・緑,Green Fancy Kitchen
ごうかなバスタブ・緑,Green Fancy Bathtub
ごうかな間仕切り・赤,Red Fancy Partition
おばけキャンドルの像,Wax Murderer Statue
お花の荷車・パステル,Pastel Flowers Cart
じんめんじゅの像・庭,Treeface Statue (G)
ふわふわ雲ドレッサー,Fluffy Cloud Vanity
ひつじのころもの絵本,Sheep Outfit Recipe
らせつのこんの作り方,Making a Taming Rod
しゅらのこんのレシピ,Knockout Rod Recipe
くさりかたびら作成術,Chain Mail Creation
ほしくずのつるぎの本,Stardust Sword Book
おしゃれな読書セット,Stylish Reading Set
おいしいお弁当セット,Delicious Bento Set
まちかどチキ坊掲示板,Chickibo Town Board
お土産屋さんの陳列台,Souvenir Shop Stand
しぐさ書・パルプンテ,Emote "Hocus Pocus"
しぐさ書・Ｓウィング,Emote "Signal Wing"
ひねくれ者たちの約束,The Cynical Promise
おうち用の旬のスイカ,Seasonal Watermelon
たそがれの路地裏の塀,Twilight Alley Fence
しぐさ書・手をつなぐ,Emote "Hold Hands"
きせきのプチプチ香水,Miracle Perfume XS
しぐさ書・タンバリン,Emote "Tambourine"
お花の荷車・ビビッド,Vivid Flowers Cart
わたぼう気球おもちゃ,Fluffy Toy Balloon
びっくりトマトのタネ,Killer Tomato Seed
ふわふわ雲のテーブル,Fluffy Cloud Table
ふわふわ雲のチェスト,Fluffy Cloud Chest
ねこまどうぬいぐるみ,Meowgician Plushie
こがらしのダガーの本,Pruning Knife Book
まじんのかなづちの本,Hela's Hammer Book
すてきなお茶会セット,Lovely Tea Party Set
しぐさ書・バラの魔法,Emote "Rose Magic"
しぐさ書・おそなえ２,Emote "Offering 2"
しっかり切れる四枚刃,Four Sturdy Blades
お菓子よりも甘いモノ,Sweeter Than Candy
おだやかな波のように,Like a Gentle Wave
しぐさ書・マギハート,Emote "Magi Heart"
たそがれのタイルの壁,Twilight Tile Wall
しぐさ書・投げキッス,Emote "Blow Kiss"
しぐさ書・コイントス,Emote "Coin Toss"
しぐさ書・カード引く,Emote "Draw Card"
しぐさ書・お茶を飲む,Emote "Drink Tea"
しぐさ書・ハイタッチ,Emote "High Five"
しぐさ書・Ｇシャワー,Emote "Gold Rush"
ごうかなチェスト・緑,Green Fancy Chest
ごうかなキッチン・赤,Red Fancy Kitchen
ごうかなバスタブ・赤,Red Fancy Bathtub
おもちゃのお天気・雨,Toy Rainy Weather
おもちゃのお天気・雪,Toy Snowy Weather
しびれくらげモビール,Man o' War Mobile
わたぼうお花おもちゃ,Fluffy Toy Flower
まんまるポテトのタネ,Budding Spud Seed
かんたん！マナパスタ,Mana Pasta Recipe
かんたん！ムチレシピ,Easy! Whip Recipe
ましょうのおうぎの本,Devilish Fan Book
ひっさつのおうぎの本,Critical Fan Book
どうぐ消しゴムのイス,Item Eraser Chair
お好み焼き屋台セット,Pancake Stall Set
ちゃばしらこぞうの像,Tea Candle Statue
しぐさ書・マギスター,Emote "Magi Star"
しぐさ書・マギスノー,Emote "Magi Snow"
いてつくはどうレンズ,Disruptive Wave Lens
お探しプロジェクター,Search Projector
くろぶたさんの貯金箱,Black Piggy Bank
れんごく天馬プリズム,Tantamount Prism
おどる宝石ぬいぐるみ,Goodybag Plushie
しぐさ書・ちょうはつ,Emote "Provoke"
しぐさ書・ホイッスル,Emote "Whistle"
しぐさ書・カンパイ！,Emote "Cheers!"
しぐさ書・ダンシング,Emote "Dancing"
しぐさ書・シャンソン,Emote "Chanson"
お菓子のカウンター大,Sweet Counter L
ごうかなチェスト・赤,Red Fancy Chest
おもちゃのテント・雪,Toy Tent (Snow)
お菓子のカウンター小,Sweet Counter S
わたぼうのお庭ランプ,Fluffy Lamp (G)
えいゆうのやりの物語,Hero Spear Tale
まちかどネオン掲示板,Neon Town Board
まちかどローズ掲示板,Rose Town Board
しぐさ書・プレゼント,Emote "Present"
しぐさ書・花を背負う,Emote "Flowers"
しぐさ書・ウェルカム,Emote "Welcome"
おともだちを作るの！,Making Friends!
しぐさ書・Ｘスライム,Emote "X Slime"
しぐさ書・ゴールデン,Emote "Golden"
しぐさ書・キュピーン,Emote "Shining Eyes"
かざぐるまのオブジェ,Pinwheel Curio
おもちゃの空・くもり,Toy Cloudy Sky
かぜのブーメランの本,Gusterang Book
やわらかくてムチムチ,Softly Whipped
お庭用リゾートベッド,Resort Bed (G)
お庭用天蓋付きベッド,Canopy Bed (G)
お庭用グリッドパネル,Grid Panel (G)
とり捕まえる範囲カゴ,Catching Cage
しぐさ書・フィーバー,Emote "Fever"
しぐさ書・フラッシュ,Emote "Flash"
ついてクンマット・丸,Round Pet Mat
しぐさ書・くやしがる,Emote "Pout"
おおくちばしプリズム,Beakon Prism
きりかぶこぞうのツボ,Stumpkin Pot
しぐさ書・にゃにゃん,Emote "Meow"
お祭りやぐら館のラグ,Festival Rug
しぐさ書・つまみ食い,Emote "Eat"
ついてクンマット・庭,Pet Mat (G)
しぐさ書・座礼その２,Emote "Sit and Bow 2"
くるみのカップケーキ,Walnut Cupcake
たけやり花火プリズム,Bambooligan Fireworks Prism
のどかな農村のテント,Idyllic Village Tent
しぐさ書・ごきげんＣ,Emote "Cheery C"
しぐさ書・執事の会釈,Emote "Butler's Bow"
さいほうギルド ２階,Sewing Guild 2F
あたまリボン水色券,Blue Head Ribbon Ticket
しぐさ書・桜の魔法,Emote "Cherry Blossom Magic"
ふしぎな燭台・黄色,Yellow Mystery Candlestick
おみくじ屋セイラン,Fortune Shop Seiran
ほこらの祭祀場・炎,Flame Shrine Ritual Ground
ほこらの祭祀場・嵐,Storm Shrine Ritual Ground
ほこらの祭祀場・水,Water Shrine Ritual Ground
たれ黒太猫カプセル,Fat Lazy Black Cat Toy
わかめ国王のなげき,Seaweed King's Lamentation
あまつちに雷鳴轟く,Thunder Rumbles in the Sky
いにしえの竜の伝承,Lore of the Ancient Dragon
すごろく景品係ミミ,Sugoroku Prize Clerk Mimi
ふしぎな燭台・白色,White Mystery Candlestick
しられざる神殿の絵,Picture of Unknown Temple
ほこらの祭祀場・闇,Dark Shrine Ritual Ground
おもちゃの岩山・雪,Toy Mountain (Snow)
